TEXT_ID	EN	CN	JP			
905	Completed all Challenge levels in Darkness Rises	限时挑战关【黑暗的胎动】通关	Achievement Description 5			
906	Completed all Challenge levels in The Vaule of Miracle	限时挑战关【奇迹的价值】通关	Achievement Description 6			
907	Equipped weapons reach a total power of 200	当前装备武器的总威力值达到200	Achievement Description 7			
908	Equipped weapons reach a total power of 800	当前装备武器的总威力值达到800	Achievement Description 8			
909	Equipped weapons reach a total power of 2000	当前装备武器的总威力值达到2000	Achievement Description 9			
910	Equipped three 3 star skills	同时装备3个3星技能	Achievement Description 10			
911	Equipped three 6 star skills	同时装备3个6星技能	Achievement Description 11			
912	Equipped three fully upgraded skills	同时装备3个满星技能	Achievement Description 12			
913	Completed 10 levels of chapter 10 or higher	累计完成10次10章以上关卡	Achievement Description 13			
914	Completed 100 levels of chapter 10 or higher	累计完成100次10章以上关卡	Achievement Description 14			
915	Completed 1000 levels of chapter 10 or higher	累计完成1000次10章以上关卡	Achievement Description 15			
916	Completed 10 levels between chapter 7 and 9	累计完成10次7至9章关卡	Achievement Description 16			
917	Completed 100 levels between chapter 7 and 9	累计完成100次7至9章关卡	Achievement Description 17			
918	Completed 1000 levels between chapter 7 and 9	累计完成1000次7至9章关卡	Achievement Description 18			
919	Completed 20 levels with your co-op partner	累计完成20次联机游戏	Achievement Description 19			
920	Completed 100 levels with your co-op partner	累计完成100次联机游戏	Achievement Description 20			
921	Completed 200 levels with your co-op partner	累计完成200次联机游戏	Achievement Description 21			
922	Completed 2000 levels with your co-op partner	累计完成2000次联机游戏	Achievement Description 22			
923	"Collected a total of 10,000 conis"	累计获得10000金币	Achievement Description 23			
924	"Collected a total of 100,000 conis"	累计获得200000金币	Achievement Description 24			
925	"Collected a total of 1,000,000 conis"	累计获得4000000金币	Achievement Description 25			
926	Spent 200 medals	累计花费200勋章	Achievement Description 26			
927	"Spent 2,000 medals"	累计花费2000勋章	Achievement Description 27			
928	"Spent 20,000 medals"	累计花费20000勋章	Achievement Description 28			
929	Reach a combo of 15	达到15次连杀	Achievement Description 29			
930	Reach a combo of 30	达到30次连杀	Achievement Description 30			
931	Reach a combo of 60	达到60次连杀	Achievement Description 31			
932	Unlock 10 dress up items	累计购买10件服装或饰品	Achievement Description 32			
933	Unlock 20 dress up items	累计购买20件服装或饰品	Achievement Description 33			
934	Unlock 36 dress up items	累计购买36件服装或饰品	Achievement Description 34			
935	Vanquish 5000 zombiegals with melee weapons.	用近战武器杀掉5000个僵尸娘	Achievement Description 35			
936	Shot 3000 zombiegals with handguns	用手枪杀掉3000个僵尸娘	Achievement Description 36			
937	Blow up 6000 zombiegals with RPGs	用火箭筒杀掉6000个僵尸娘	Achievement Description 37			
938	Destroyed 5000 zombiegals with automatic weapons.	用自动步枪杀掉5000个僵尸娘	Achievement Description 38			
939	Killed 5000 zombiegals with shotguns	用散弹枪杀掉5000个僵尸娘	Achievement Description 39			
940	Liquify 5000 zombiegals with explosives.	用雷炸掉5000个僵尸娘	Achievement Description 40			
941	Slaughter 500 zombiegals who under freezing	杀死500个处于冰冻状态下的僵尸娘	Achievement Description 41			
942	Resurrect 10 times	累计复活10次	Achievement Description 42			
943	Resurrect 30 times	累计复活30次	Achievement Description 43			
944	Achievement points reach 100	解锁成就点数达到100	Achievement Description 44			
945	Achievement points reach 500	解锁成就点数达到500	Achievement Description 45			
946	Slay 5000 zombiegals with snipers	用狙击枪杀掉5000个僵尸娘	Achievement Description 46			
947	Resurrect 100 times	累计复活100次	Achievement Description 47			
948	Achievement points reach 300	解锁成就点数达到300	Achievement Description 48			
1000	SelectBuff	请任选一项奖励:	SelectBuff			
1001	HP#1%	HP上限提高#1%	HP#1%			
1002	Ammo#1%	弹药上限提高#1%	Ammo#1%			
1003	Atk#1%	攻击力提高#1%	Atk#1%			
1004	Life#1	+1次免费复活	Life#1			
1005	Store#1	1次更换装备机会	Store#1			
1011	HP+#1%	HP+#1%	HP+#1%			
1012	Ammo+#1%	弹药+#1%	Ammo+#1%			
1013	ATK+#1%	攻击+#1%	ATK+#1%			
1014	Lifex1	复活×#1	Lifex1			
1015	Fight	，来战！	Fight			
1100	Your ID is: 	你的ID为：	Your ID is: 			
1101	XXX	通过用户ID添加好友	XXX			
1102	XXX	输入好友数字ID	XXX			
1103	XXX	网络连接错误，请稍后再试	XXX			
1104	XXX	啊咧~找不到这个用户ID呦~	XXX			
1105	XXX	你已经达到#1个好友的上限啦~#n只有删除现有好友，才能继续添加	XXX			
1106	XXX	这位朋友的好友数已经达到上限啦~	XXX			
1107	XXX	休息一下啵，交友太频繁会伤身哒~	XXX			
1108	XXX	主人~他（她）已经是你的好友啦~	XXX			
1109	XXX	添 加	XXX			
1110	XXX	接 受	XXX			
1111	XXX	忽 略	XXX			
1112	XXX	删除好友	XXX			
1113	XXX	修改昵称	XXX			
1114	XXX	戳一下	XXX			
1115	XXX	我自己	XXX			
1116	XXX	主人好可怜哦，都没人和你互动呢，#n不如我们先去骚扰骚扰他们啵~	XXX			
1117	XXX	请输入一个新昵称	XXX			
1118	XXX	包含非法字符，请重新输入	XXX			
1119	XXX	确 认	XXX			
1120	XXX	邀请已成功发送，请等待好友回应	XXX			
1121	XXX	未知错误，确认好友失败	XXX			
1122	XXX	希望成为你的好友哦~	XXX			
1123	XXX	主人~已经请求过了呢~	XXX			
1124	XXX	该用户已被封禁~~(>_<)~~	XXX			
1125	XXX	你们刚刚并肩作战呦~	XXX			
1126	XXX	要加为好友喵？	XXX			
1127	XXX	仅限好友加入	XXX			
1128	XXX	获得邀请码奖励	XXX			
1129	XXX	等级#1解锁	XXX			
1130	XXX	输入一个邀请码	XXX			
1131	XXX	您的等级还不够	XXX			
1132	XXX	验证成功，请在通知页面领取奖励	XXX			
1133	XXX	网络连接错误，请稍后再试	XXX			
1134	XXX	邀请码错误，请重新输入哦	XXX			
1135	XXX	领 取	XXX			
1136	XXX	提示：主人~把你的邀请码发给朋#n友们，请他们安装游戏并验证邀请#n码，你就会获得奖励勋章啦~!	XXX			
1137	XXX	我的邀请码是：#1	XXX			
1138	XXX	邀请更多好友，每位可送您#1个勋章	XXX			
1139	XXX	尼玛#崩坏学园#这游戏萌的一口血，全妹纸动作玩#n法，苹果商店免费下载#1#n安装游戏，验证我的邀请码#2，立刻#n就能领礼包啦，一般人我还不告诉他呢~	XXX			
1140	XXX	分享入口：	XXX			
1141	XXX	邀请好友奖励	XXX			
1142	XXX	主人你又偷拍伦家啦~#n才不要被分享到微博呢！	XXX			
1143	XXX	分享到微博	XXX			
1144	XXX	笨蛋主人！自己怎么能添加自己呢！~	XXX			
1145	XXX	受邀成为你的好友，请领取#1个勋章奖励~	XXX			
1146	XXX	邀请码验证成功，获得#1个勋章奖励~	XXX			
1147	XXX	系统消息	XXX			
1148	XXX	通知验证失败或已过期	XXX			
1149	XXX	西元#1主人又在#崩坏学园#偷拍伦家了，ID是#2，官博姐姐@米哈游miHoYo 快来为伦家主持公道嘛~~	XXX			
1150	XXX	这位好友将被删除，你也会从对方的好友列表中消失，确定么？	XXX			
1151	XXX	微博发送成功	XXX			
1152	XXX	快去找好友们扩散吧~	XXX			
1153	XXX	无法添加好友	XXX			
1200	Connect to IAP Verification Failed.	连接IAP验证服务器失败... %>_<%	Open IAP Faild			
